name,currency,symbolIB,symbolTrading,exchange
Lyxor FTSE 100 UCITS ETF,EUR,100H,100H,sbf
Amundi S&P 500 UCITS ETF,EUR,500,500,sbf
Amundi S&P 500 UCITS ETF,EUR,500H,500H,sbf
HSBC EURO STOXX 50 UCITS ETF,EUR,50E,50E,sbf
ComStage Bund-Future Short UCITS ETF,EUR,5X62,BUNS,sbf
Invesco FTSE RAFI US 1000 UCITS ETF,EUR,6PSA,PFT,sbf
Amundi Govt Bond Highest Rated Euromts Investment Grade 1-3,EUR,AA13,AA13,sbf
Amundi Msci EM Asia UCITS ETF,EUR,AASI,AASI,sbf
Lyxor MSCI All Country World UCITS ETF,EUR,ACWI,ACWI,sbf
Amundi Msci Emerging Markets UCITS ETF,EUR,AEEM,AEEM,sbf
Lyxor MSCI AC Asia Pacific Ex Japan UCITS ETF,EUR,AEJ,AEJ,sbf
Amundi Index MSCI Emerging Markets UCITS ETF DR,EUR,AEME,AEME,sbf
Amundi Msci Europe EX UK UCITS ETF,EUR,AEXK,AEXK,sbf
Amundi Euro Corporate Financials Iboxx UCITS ETF,EUR,AFIN,AFIN,sbf
Amundi Floating Rate USD Corporate UCITS ETF,EUR,AFLE,AFLE,sbf
Amundi Floating Rate Euro Corporate 1-3 UCITS ETF,EUR,AFRN,AFRN,sbf
Amundi Floating Rate Euro Corporate 3-7 UCITS ETF,EUR,AFRN7,AFRN7,sbf
Lyxor MSCI South Africa UCITS ETF,EUR,AFS,AFS,sbf
Amundi ETF Global Emerging Bond Markit Iboxx UCITS ETF,USD,AGEB,AGEB,sbf
Amundi Euro High Yield Liquid Bond Iboxx UCITS ETF,EUR,AHYE,AHYE,sbf
WisdomTree Agriculture,EUR,AIGAP,AIGAP,sbf
WisdomTree Broad Commodities,EUR,AIGCP,AIGCP,sbf
WisdomTree Precious Metals,EUR,AIGPP,AIGPP,sbf
Amundi Msci EM Latin America UCITS ETF,EUR,ALAT,ALAT,sbf
Amundi Govt Bond Highest Rated Euromts Investment Grade UCITS ETF,EUR,AM3A,AM3A,sbf
Amundi ETF MSCI Europe Energy UCITS ETF,EUR,ANRJ,ANRJ,sbf
Amundi Nasdaq-100 UCITS ETF,EUR,ANX,ANX,sbf
Amundi Nasdaq-100 UCITS ETF,USD,ANXUSD,ANXU,sbf
Lyxor MSCI AC Asia Ex Japan UCITS ETF,EUR,APX,APX,sbf
Lyxor China Enterprise HSCEI UCITS ETF,EUR,ASI,ASI,sbf
Amundi Msci Emerging Markets UCITS ETF,USD,AUEM,AUEM,sbf
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF,EUR,AUT,AUT,sbf
Lyxor PEA World Water UCITS ETF,EUR,AWAT,AWAT,sbf
